- Loading control control.mo: class peersim.reports.MemoryObserver
control.mo: max=1908932608, total=1140064256, free=265777064
control.mo: max=1908932608, total=1140064256, free=257700392
control.mo: max=1908932608, total=1140064256, free=257700392
control.mo: max=1908932608, total=1140064256, free=257700392
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=254680016
control.mo: max=1908932608, total=1140064256, free=251660272
control.mo: max=1908932608, total=1140064256, free=251660272
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=249589640
control.mo: max=1908932608, total=1140064256, free=247558792
control.mo: max=1908932608, total=1140064256, free=247558792
control.mo: max=1908932608, total=1140064256, free=247558792
control.mo: max=1908932608, total=1140064256, free=247558792
control.mo: max=1908932608, total=1140064256, free=245488128
control.mo: max=1908932608, total=1140064256, free=245488128
control.mo: max=1908932608, total=1140064256, free=243417432
control.mo: max=1908932608, total=1140064256, free=243417432
control.mo: max=1908932608, total=1140064256, free=243417432
control.mo: max=1908932608, total=1140064256, free=241385976
control.mo: max=1908932608, total=1140064256, free=237323704
control.mo: max=1908932608, total=1140064256, free=235253040
control.mo: max=1908932608, total=1140064256, free=235253040
control.mo: max=1908932608, total=1140064256, free=235253040
control.mo: max=1908932608, total=1140064256, free=233182368
control.mo: max=1908932608, total=1140064256, free=233182368
control.mo: max=1908932608, total=1140064256, free=233182368
control.mo: max=1908932608, total=1140064256, free=231111480
control.mo: max=1908932608, total=1140064256, free=229080152
control.mo: max=1908932608, total=1140064256, free=224029528
control.mo: max=1908932608, total=1140064256, free=219927480
control.mo: max=1908932608, total=1140064256, free=219927480
control.mo: max=1908932608, total=1140064256, free=219927480
control.mo: max=1908932608, total=1140064256, free=215824768
control.mo: max=1908932608, total=1140064256, free=215824768
control.mo: max=1908932608, total=1140064256, free=215824768
control.mo: max=1908932608, total=1140064256, free=215824768
control.mo: max=1908932608, total=1140064256, free=213754128
control.mo: max=1908932608, total=1140064256, free=213754128
control.mo: max=1908932608, total=1140064256, free=213754128
control.mo: max=1908932608, total=1140064256, free=211683432
control.mo: max=1908932608, total=1140064256, free=211683432
control.mo: max=1908932608, total=1140064256, free=211683432
control.mo: max=1908932608, total=1153564672, free=330320336
control.mo: max=1908932608, total=1153564672, free=330320336
control.mo: max=1908932608, total=1153564672, free=330320336
control.mo: max=1908932608, total=1153564672, free=330320336
control.mo: max=1908932608, total=1153564672, free=328813960
control.mo: max=1908932608, total=1153564672, free=328813960
control.mo: max=1908932608, total=1153564672, free=327308328
control.mo: max=1908932608, total=1153564672, free=327308328
control.mo: max=1908932608, total=1153564672, free=327308328
control.mo: max=1908932608, total=1153564672, free=325802928
control.mo: max=1908932608, total=1153564672, free=325802928
control.mo: max=1908932608, total=1153564672, free=325802928
control.mo: max=1908932608, total=1153564672, free=325802928
control.mo: max=1908932608, total=1153564672, free=324297560
control.mo: max=1908932608, total=1153564672, free=322948584
control.mo: max=1908932608, total=1153564672, free=322948584
control.mo: max=1908932608, total=1153564672, free=322948584
control.mo: max=1908932608, total=1153564672, free=321443216
control.mo: max=1908932608, total=1153564672, free=320094752
control.mo: max=1908932608, total=1153564672, free=318589024
control.mo: max=1908932608, total=1153564672, free=318589024
control.mo: max=1908932608, total=1153564672, free=317083632
control.mo: max=1908932608, total=1153564672, free=314229768
control.mo: max=1908932608, total=1153564672, free=311531488
control.mo: max=1908932608, total=1153564672, free=310025976
control.mo: max=1908932608, total=1153564672, free=308677512
control.mo: max=1908932608, total=1153564672, free=304473416
control.mo: max=1908932608, total=1153564672, free=301770768
control.mo: max=1908932608, total=1153564672, free=300265416
control.mo: max=1908932608, total=1153564672, free=300265416
control.mo: max=1908932608, total=1153564672, free=297410576
control.mo: max=1908932608, total=1153564672, free=295905184
control.mo: max=1908932608, total=1153564672, free=295905184
control.mo: max=1908932608, total=1153564672, free=295905184
control.mo: max=1908932608, total=1153564672, free=293050544
control.mo: max=1908932608, total=1153564672, free=289671264
control.mo: max=1908932608, total=1153564672, free=288165904
control.mo: max=1908932608, total=1153564672, free=286659928
control.mo: max=1908932608, total=1153564672, free=286659928
control.mo: max=1908932608, total=1153564672, free=283806064
control.mo: max=1908932608, total=1153564672, free=283806064
control.mo: max=1908932608, total=1153564672, free=281107472
control.mo: max=1908932608, total=1153564672, free=279601992
control.mo: max=1908932608, total=1153564672, free=278096624
control.mo: max=1908932608, total=1153564672, free=276591240
control.mo: max=1908932608, total=1153564672, free=276591240
control.mo: max=1908932608, total=1153564672, free=273736904
control.mo: max=1908932608, total=1153564672, free=272388144
control.mo: max=1908932608, total=1153564672, free=269534320
control.mo: max=1908932608, total=1153564672, free=268028968
control.mo: max=1908932608, total=1153564672, free=266523576
control.mo: max=1908932608, total=1153564672, free=265018096
control.mo: max=1908932608, total=1153564672, free=263512704
control.mo: max=1908932608, total=1153564672, free=263512704
control.mo: max=1908932608, total=1153564672, free=259304568
control.mo: max=1908932608, total=1153564672, free=259304568
control.mo: max=1908932608, total=1153564672, free=257799208
control.mo: max=1908932608, total=1153564672, free=256293856
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=253282960
control.mo: max=1908932608, total=1153564672, free=251252136
control.mo: max=1908932608, total=1153564672, free=251252136
control.mo: max=1908932608, total=1153564672, free=249221312
control.mo: max=1908932608, total=1153564672, free=249221312
control.mo: max=1908932608, total=1153564672, free=247190488
control.mo: max=1908932608, total=1153564672, free=245159640
control.mo: max=1908932608, total=1153564672, free=243128816
control.mo: max=1908932608, total=1153564672, free=241780344
control.mo: max=1908932608, total=1153564672, free=241780344
control.mo: max=1908932608, total=1153564672, free=241780344
control.mo: max=1908932608, total=1153564672, free=241780344
control.mo: max=1908932608, total=1153564672, free=239749496
control.mo: max=1908932608, total=1153564672, free=239749496
control.mo: max=1908932608, total=1153564672, free=235687864
control.mo: max=1908932608, total=1153564672, free=235687864
control.mo: max=1908932608, total=1153564672, free=235687864
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=232985216
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=231636752
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
control.mo: max=1908932608, total=1153564672, free=228934104
